Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Combined,Biomass_initial,Biomass_final,Proportion_biomass_change,Light_conc1,Light_conc2,Diuron_conc1,Diuron_conc2,Light_maxlow,Diuron_maxhigh
1,0A,1,0,StaticStatic,high,100,low,0,HLLD,0.7052,0.6702,-0.04963131,100,100,0,0,100,0
1,0B,2,0,StaticStatic,high,100,low,0,HLLD,0.4481,0.3275,-0.269136353,100,100,0,0,100,0
1,0C,3,0,StaticStatic,high,100,low,0,HLLD,0.494,0.5428,0.098785425,100,100,0,0,100,0
2,0F,6,0,StaticStatic,high,100,low,0,HLLD,0.3378,0.4076,0.206631143,100,100,0,0,100,0
2,0D,4,0,StaticStatic,high,100,low,0,HLLD,0.2677,0.237,-0.114680613,100,100,0,0,100,0
2,0E,5,0,StaticStatic,high,100,low,0,HLLD,0.288,0.3374,0.171527778,100,100,0,0,100,0
3,0G,7,0,StaticStatic,high,100,low,0,HLLD,0.2384,0.2818,0.18204698,100,100,0,0,100,0
3,0H,8,0,StaticStatic,high,100,low,0,HLLD,0.2039,0.237,0.162334478,100,100,0,0,100,0
3,0I,9,0,StaticStatic,high,100,low,0,HLLD,0.2567,0.2131,-0.169848072,100,100,0,0,100,0
4,0L,12,0,StaticStatic,high,100,low,0,HLLD,0.4945,0.6166,0.246916077,100,100,0,0,100,0
4,0J,10,0,StaticStatic,high,100,low,0,HLLD,0.5648,0.3982,-0.294971671,100,100,0,0,100,0
4,0K,11,0,StaticStatic,high,100,low,0,HLLD,0.6846,0.6038,-0.118025124,100,100,0,0,100,0
1,1A,1,1,StaticStatic,high,100,medium,1,HLMD,0.1735,0.1289,-0.257060519,100,100,1,1,100,1
1,1B,2,1,StaticStatic,high,100,medium,1,HLMD,0.6651,0.7478,0.124342204,100,100,1,1,100,1
1,1C,3,1,StaticStatic,high,100,medium,1,HLMD,0.6477,0.6222,-0.039370079,100,100,1,1,100,1
2,1F,6,1,StaticStatic,high,100,medium,1,HLMD,0.2816,0.3266,0.159801136,100,100,1,1,100,1
2,1D,4,1,StaticStatic,high,100,medium,1,HLMD,0.1463,0.1475,0.008202324,100,100,1,1,100,1
