Day,Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Avg_Photo_Total,Day0PE
2,1,5A,1,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.5105,0.796
2,1,5B,2,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.73775,0.778
2,1,5C,3,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.6695,0.81425
2,2,5D,4,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.6755,0.74375
2,2,5E,5,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.74525,0.724
2,2,5F,6,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.702,0.772
2,3,5G,7,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.67625,0.8135
2,3,5H,8,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.68725,0.79
2,3,5I,9,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.6655,0.8095
2,4,5J,10,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.7185,0.7865
2,4,5K,11,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.7175,0.79475
2,4,5L,12,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.724,0.805
4,1,5A,1,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.67725,0.796
4,1,5B,2,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.756,0.778
4,1,5C,3,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.71,0.81425
4,2,5D,4,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.52275,0.74375
4,2,5E,5,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.6365,0.724
4,2,5F,6,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.68825,0.772
4,3,5G,7,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.7545,0.8135
4,3,5H,8,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.68975,0.79
4,3,5I,9,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.659,0.8095
4,4,5J,10,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.7025,0.7865
4,4,5K,11,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.61625,0.79475
4,4,5L,12,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.725,0.805
6,1,5A,1,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.509,0.796
6,1,5B,2,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.62525,0.778
6,1,5C,3,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.6455,0.81425
6,2,5D,4,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.53075,0.74375
6,2,5E,5,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.3975,0.724
6,2,5F,6,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.57425,0.772
6,3,5G,7,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.71775,0.8135
6,3,5H,8,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.69925,0.79
6,3,5I,9,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.626,0.8095
6,4,5J,10,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.653,0.7865
6,4,5K,11,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.58825,0.79475
6,4,5L,12,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.7005,0.805
7,1,5A,1,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.6375,0.796
7,1,5B,2,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.7035,0.778
7,1,5C,3,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.5575,0.81425
7,2,5F,6,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.49225,0.772
7,2,5D,4,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.47975,0.74375
7,2,5E,5,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.51375,0.724
7,3,5G,7,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.51275,0.8135
7,3,5H,8,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.5975,0.79
7,3,5I,9,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.5875,0.8095
7,4,5L,12,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.67725,0.805
7,4,5J,10,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.51925,0.7865
7,4,5K,11,5,StaticStatic,Medium Light,75,Medium Herbicide,1,0.5595,0.79475
2,1,6A,1,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.43125,0.78825
2,1,6B,2,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7475,0.7865
2,1,6C,3,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.3935,0.81375
2,2,6D,4,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.77825,0.75875
2,2,6E,5,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7465,0.77725
2,2,6F,6,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.73975,0.74875
2,3,6G,7,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7645,0.7615
2,3,6H,8,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.76425,0.80775
2,3,6I,9,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.74425,0.824
2,4,6J,10,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.765,0.81225
2,4,6K,11,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.74275,0.75175
2,4,6L,12,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.77725,0.79775
4,1,6A,1,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.733175,0.78825
4,1,6B,2,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.733175,0.7865
4,1,6C,3,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.65775,0.81375
4,2,6D,4,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.72325,0.75875
4,2,6E,5,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.73625,0.77725
4,2,6F,6,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7565,0.74875
4,3,6G,7,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.76125,0.7615
4,3,6H,8,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7655,0.80775
4,3,6I,9,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.65725,0.824
4,4,6J,10,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.74325,0.81225
4,4,6K,11,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.76625,0.75175
4,4,6L,12,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7645,0.79775
6,1,6A,1,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.36025,0.78825
6,1,6B,2,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.668568182,0.7865
6,1,6C,3,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.6625,0.81375
6,2,6D,4,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.56825,0.75875
6,2,6E,5,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.68475,0.77725
6,2,6F,6,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7335,0.74875
6,3,6G,7,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.70125,0.7615
6,3,6H,8,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.72675,0.80775
6,3,6I,9,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.70625,0.824
6,4,6J,10,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.69575,0.81225
6,4,6K,11,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.74475,0.75175
6,4,6L,12,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.77025,0.79775
7,1,6A,1,6,StaticStatic,Low Light,25,Medium Herbicide,1,NA,0.78825
7,1,6B,2,6,StaticStatic,Low Light,25,Medium Herbicide,1,NA,0.7865
7,1,6C,3,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.66725,0.81375
7,2,6F,6,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.4175,0.74875
7,2,6D,4,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.61875,0.75875
7,2,6E,5,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.69025,0.77725
7,3,6G,7,6,StaticStatic,Low Light,25,Medium Herbicide,1,NA,0.7615
7,3,6H,8,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.64025,0.80775
7,3,6I,9,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.58875,0.824
7,4,6L,12,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.59175,0.79775
7,4,6J,10,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.684,0.81225
7,4,6K,11,6,StaticStatic,Low Light,25,Medium Herbicide,1,0.7125,0.75175
2,1,7A,1,7,StaticStatic,Medium Light,75,High Herbicide,2,0.29575,0.778
2,1,7B,2,7,StaticStatic,Medium Light,75,High Herbicide,2,0.74625,0.77375
2,1,7C,3,7,StaticStatic,Medium Light,75,High Herbicide,2,0.65725,0.80075
2,2,7D,4,7,StaticStatic,Medium Light,75,High Herbicide,2,0.64425,0.775
2,2,7E,5,7,StaticStatic,Medium Light,75,High Herbicide,2,0.72525,0.734
2,2,7F,6,7,StaticStatic,Medium Light,75,High Herbicide,2,0.73,0.769
2,3,7G,7,7,StaticStatic,Medium Light,75,High Herbicide,2,0.71225,0.77275
2,3,7H,8,7,StaticStatic,Medium Light,75,High Herbicide,2,0.7005,0.7715
2,3,7I,9,7,StaticStatic,Medium Light,75,High Herbicide,2,0.6805,0.7835
2,4,7J,10,7,StaticStatic,Medium Light,75,High Herbicide,2,0.6975,0.77425
2,4,7K,11,7,StaticStatic,Medium Light,75,High Herbicide,2,0.74225,0.78975
2,4,7L,12,7,StaticStatic,Medium Light,75,High Herbicide,2,0.703,0.82875
4,1,7A,1,7,StaticStatic,Medium Light,75,High Herbicide,2,0.28975,0.778
4,1,7B,2,7,StaticStatic,Medium Light,75,High Herbicide,2,0.743,0.77375
4,1,7C,3,7,StaticStatic,Medium Light,75,High Herbicide,2,0.395,0.80075
4,2,7D,4,7,StaticStatic,Medium Light,75,High Herbicide,2,0.583,0.775
4,2,7E,5,7,StaticStatic,Medium Light,75,High Herbicide,2,0.66075,0.734
4,2,7F,6,7,StaticStatic,Medium Light,75,High Herbicide,2,0.7315,0.769
4,3,7G,7,7,StaticStatic,Medium Light,75,High Herbicide,2,0.69275,0.77275
4,3,7H,8,7,StaticStatic,Medium Light,75,High Herbicide,2,0.7,0.7715
4,3,7I,9,7,StaticStatic,Medium Light,75,High Herbicide,2,0.6645,0.7835
4,4,7J,10,7,StaticStatic,Medium Light,75,High Herbicide,2,0.643,0.77425
4,4,7K,11,7,StaticStatic,Medium Light,75,High Herbicide,2,0.712,0.78975
4,4,7L,12,7,StaticStatic,Medium Light,75,High Herbicide,2,0.52425,0.82875
6,1,7A,1,7,StaticStatic,Medium Light,75,High Herbicide,2,0.29625,0.778
6,1,7B,2,7,StaticStatic,Medium Light,75,High Herbicide,2,0.057,0.77375
6,1,7C,3,7,StaticStatic,Medium Light,75,High Herbicide,2,0.435636364,0.80075
6,2,7D,4,7,StaticStatic,Medium Light,75,High Herbicide,2,0.2105,0.775
6,2,7E,5,7,StaticStatic,Medium Light,75,High Herbicide,2,0.27225,0.734
