Day,Week,ID,Replicate,Treatment,Stressor_app,Light_level,Light_conc,Diuron_level,Diuron_conc,Combined,Biomass
7,1,5A,1,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.732934132
7,1,5B,2,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.436548223
7,1,5C,3,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.634146341
7,2,5F,6,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.081138288
7,2,5D,4,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.112280702
7,2,5E,5,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.015021459
7,3,5G,7,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.402605459
7,3,5H,8,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.339727939
7,3,5I,9,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.285899094
7,4,5L,12,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,0.131330978
7,4,5J,10,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,-0.101830127
7,4,5K,11,5,StaticStatic,Medium Light,75,Medium Herbicide,1,MLMD,0.148018648
7,1,6A,1,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-1
7,1,6B,2,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-1
7,1,6C,3,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-0.322375398
7,2,6F,6,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,0.211256746
7,2,6D,4,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,0.014492754
7,2,6E,5,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,0.313511612
7,3,6G,7,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-1
7,3,6H,8,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-0.556756757
7,3,6I,9,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-0.436885865
7,4,6L,12,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-0.116634388
7,4,6J,10,6,StaticStatic,Low Light,25,Medium Herbicide,1,LLMD,-0.533698157
